projectname,projectmember,tag_code_space,person_id,animal_id,scientific_name,common_name,length,length_type,length_units,length2,length2_type,length2_units,weight_units,age,age_units,sex,life_stage,capture_location,capture_depth,utc_release_date_time,comments,est_tag_life,wild_or_hatchery,stock,dna_sample_taken,treatment_type,dissolved_oxygen,sedative,sedative_concentration,temperature_change,holding_temperature,preop_holding_period,post_op_holding_period,surgery_location,date_of_surgery,anaesthetic,buffer,anaesthetic_concentration,buffer_concentration_in_anaesthetic,anesthetic_concentration_in_recirculation,buffer_concentration_in_recirculation,id_pk,catched_date_time,capture_latitude,capture_longitude,release_latitude,release_longitude,surgery_latitude,surgery_longitude,recapture_date,implant_type,implant_method,date_modified,date_created,release_location,length3,length3_type,length3_units,length4,length4_type,length4_units,weight,end_date_tag,capture_method,project_fk,animal_tag_release_id_pk,thelma_converted_code,projectcode,tag_full_id
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,925,total length,mm,44.7,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2781,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:48:46Z,2017-12-13T08:14:38Z,HH5,12.1,horizontal eye diameter,mm,10.5,vertical eye diameter,mm,1644.4,2018-05-12T00:00:00Z,double fyke nets,18,1770,,2013_albertkanaal,A69-9006-1838
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,854,total length,mm,45.75,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2782,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:48:52Z,2017-12-13T08:16:46Z,HH5,10.45,horizontal eye diameter,mm,10.4,vertical eye diameter,mm,1408.4,2018-05-12T00:00:00Z,double fyke nets,18,1771,,2013_albertkanaal,A69-9006-1840
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,871,total length,mm,38.15,pectoral fin length,mm,g,,,female,FIII,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2783,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:48:59Z,2017-12-13T08:23:03Z,HH5,9.85,horizontal eye diameter,mm,9.9,vertical eye diameter,mm,1225,2018-05-12T00:00:00Z,double fyke nets,18,1772,,2013_albertkanaal,A69-9006-1842
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,968,total length,mm,49.65,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2784,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:49:06Z,2017-12-13T08:24:49Z,HH5,12.5,horizontal eye diameter,mm,11.9,vertical eye diameter,mm,1503.6,2018-05-12T00:00:00Z,double fyke nets,18,1773,,2013_albertkanaal,A69-9006-1844
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,772,total length,mm,37.3,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2785,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:49:12Z,2017-12-13T08:25:43Z,HH5,11,horizontal eye diameter,mm,10.8,vertical eye diameter,mm,1108,2018-05-12T00:00:00Z,double fyke nets,18,1774,,2013_albertkanaal,A69-9006-1846
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,929,total length,mm,50.85,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2786,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:49:19Z,2017-12-13T08:27:01Z,HH5,12.95,horizontal eye diameter,mm,12.2,vertical eye diameter,mm,1556,2018-05-12T00:00:00Z,double fyke nets,18,1775,,2013_albertkanaal,A69-9006-1848
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,836,total length,mm,44.9,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-10T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2787,2017-11-10T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:49:26Z,2017-12-13T08:28:38Z,HH5,10,horizontal eye diameter,mm,9.95,vertical eye diameter,mm,1181,2018-05-12T00:00:00Z,double fyke nets,18,1776,,2013_albertkanaal,A69-9006-1850
2013 Albertkanaal,1,A69-9006,40,,Anguilla anguilla,European eel,967,total length,mm,51.25,pectoral fin length,mm,g,,,female,FV,sluis Genk,,2017-11-13T00:00:00Z,,,wild,,,,,,,,,,,,,,,,,,,2788,2017-11-13T00:00:00Z,50.936,5.492112,51.016368,5.233414,,,,,,2019-03-14T09:49:33Z,2017-12-13T08:30:03Z,HH5,11.55,horizontal eye diameter,mm,10.85,vertical eye diameter,mm,1974,2018-05-15T00:00:00Z,double fyke nets,18,1777,,2013_albertkanaal,A69-9006-1852
PhD Jan Reubens,0,A69-1303,30,T17,Gadus morhua,Atlantic cod,28,total length,cm,,,,,,,unknown,,D5,,2010-01-10T13:00:00Z,,,wild,,,INTERNAL TAGGING,,,,,,,,D5,2010-01-10T00:00:00Z,2-phenoxyethanol,,0.3ml/L,,,,681,2010-10-01T13:00:00Z,51.548,2.9295,51.548,2.9295,,,,,,2016-08-22T15:29:51Z,2016-02-02T11:48:40Z,D5,,,,,,,,2011-02-19T00:00:00Z,line fishing,16,6,,phd_reubens,A69-1303-20701
PhD Jan Reubens,0,A69-1303,30,T18,Gadus morhua,Atlantic cod,38,total length,cm,,,,,,,unknown,,D5,,2010-01-10T13:00:00Z,,,wild,,,INTERNAL TAGGING,,,,,,,,D5,2010-01-10T00:00:00Z,2-phenoxyethanol,,0.3ml/L,,,,682,2010-10-01T13:00:00Z,51.548,2.9295,51.548,2.9295,,,,,,2016-08-22T15:30:16Z,2016-02-02T11:48:40Z,D5,,,,,,,,2011-02-19T00:00:00Z,line fishing,16,7,,phd_reubens,A69-1303-20702
