"","station_name","location_name"
"421","bpns-C05AR3Belwind","Belwind C05-AR3"
"422","bpns-C05BELWIND","C05 Belwind"
"423","bpns_CNB01","bpns_CNB01"
"424","bpns-CNB02","bpns-CNB02"
"425","bpns-CNB03","bpns-CNB03"
"426","bpns-CNB04","bpns-CNB04"
"427","bpns-CNB05","bpns-CNB05"
"428","bpns-CNB06","bpns-CNB06"
"429","bpns-CNB07","bpns-CNB07"
"430","bpns-CNB08","bpns-CNB08"
"431","bpns-CNB09","bpns-CNB09"
"432","bpns-CNB10","bpns-CNB10"
"433","bpns-CNB11","bpns-CNB11"
"434","bpns-CNB12","bpns-CNB12"
"435","bpns-CNB13","bpns-CNB13"
"436","bpns-CNB14","bpns-CNB14"
"437","bpns-Cpowerreefballs",NA
"438","bpns-CPowerReefballs","bpns-CPowerReefballs"
"439","bpns-Cpowerreefballs-CPOD","bpns-Cpowerreefballs-CPOD"
"440","bpns-D1","D1"
"441","bpns-D1",NA
"442","bpns-Duc de Normandie","Duc de Normandie, Shipwreck"
"443","bpns-Faulbaums",NA
"444","bpns-G88",NA
"445","bpns-G-88","bpns-G-88"
"446","bpns-Gardencity",NA
"447","bpns-Gardencity","bpns-Gardencity"
"448","bpns-GARDENCITY","GARDEN CITY"
"449","bpns-Gootebank",NA
"450","bpns-Grafton",NA
"451","bpns-HMS Grafton","bpns-HMS Grafton"
"452","bpns-HMS Grafton",NA
"453","bpns-KB2","KB-2"
"454","bpns-Kilmore","bpns-Kilmore"
"455","bpns-Kilmore","Kilmore, shipwreck"
"456","bpns-Lottobuoy",NA
"457","bpns-Lottobuoy","Boei bij Reefballs C-Power"
"458","bpns-LottoBuoy","bpns-LottoBuoy"
"459","bpns-LST420",NA
"460","bpns-middelkerkebank","Middelkerkebank"
"461","bpns-Middelkerke South",NA
"462","bpns-Nautica Ena","bpns-Nautica Ena"
"463","bpns-Nautica Ena",NA
"464","bpns-NHSE","NOORD HINDER SE"
"465","bpns-nieuwpoortbank","Nieuwpoortbank"
"466","bpns-nieuwpoortbank","bpns-nieuwpoortbank"
"467","bpns-NIEUWPOORTKUST8","Nieuwpoort Kust 8"
"468","bpns-NIEUWPOORTKUST8","bpns-NIEUWPOORTKUST8"
"469","bpns-NobelwindG10","bpns-NobelwindG10"
"470","bpns-Noordede","bpns-Noordede"
"471","bpns-O6","O6"
"472","bpns-O6","O 6 OOSTENDE"
"473","bpns-OH1","bpns-OH1"
"474","bpns-OOSTDYCK","OOST – DYCK"
"475","bpns-OOSTDYCK","bpns-OOSTDYCK"
"476","bpns-oostdyck west",NA
"477","bpns-Oostendebank Oost",NA
"478","bpns-Reefballs belwind",NA
"479","bpns-Reefballs Belwind",NA
"480","bpns-Reefballs-cpower",NA
"481","bpns-RTNZ01","RTNZ01"
"482","bpns-RTNZ02","RTNZ02"
"483","bpns-RTNZ03","RTNZ03"
"484","bpns-RTNZ04","RTNZ04"
"485","bpns-RTNZ05","RTNZ05"
"486","bpns-RTNZ06","RTNZ06"
"487","bpns-RTNZ07","RTNZ07"
"488","bpns-RYCO","bpns-RYCO"
"489","bpns-S4","S4"
"490","bpns-S7","S 7"
"491","bpns-Sigurd Faulbaums","bpns-Sigurd Faulbaums"
"492","bpns-Trapegeer","Trapegeer"
"493","bpns-vandamme","Vandamme"
"494","bpns-VG2",NA
"495","bpns-VG2","VG-2"
"496","bpns-VG2","VG2"
"497","bpns-W1","W1"
"498","bpns-Wenduinebankw",NA
"499","bpns-WENDUINEBANKW","WENDUINE BANK W"
"500","bpns-Wenduinebank West",NA
"501","bpns-Westhinder","bpns-Westhinder"
"502","bpns-Westhinder",NA
"503","bpns-Whitley","Whitley"
"504","bpns-WK12",NA
"505","bpns-WK12","WK12"
"506","bpns-WK14","WK14"
"507","bpns-WK16",NA
"508","bpns-WK9",NA
"509","bpns-WKSabrina","WK-Sabrina"
"510","bpns-WKSabrina","bpns-WKSabrina"
"511","bpns-WZ","WZ"
"512","bpns-WZ","bpns-WZ"
"513","bpns-ZAND4","ZAND4"
"514","bpns-zbe1","Zeebrugge East 1"
"515","bpns-zbe2","Zeebrugge East 2"
"516","bpns-zbe3","Zeebrugge East 3"
"517","bpns-zbw1","Zeebrugge West 1"
"518","bpns-zbw2","Zeebrugge West 2"
"519","bpns-zbw3","Zeebrugge West 3"
"520","bpns-ZOKN","ZOKN"
"521","bpns-ZW1","ZW1"
"522","Cabo_Afonso","Cabo_Afonso"
"523","Cabo Afonso - WP28","Arrábida - Cabo Afonso - WP28"
"524","Calhau_dos_Alhos","Calhau_dos_Alhos"
"525","CL1","Cap Leucate"
"526","CL2","Cap Leucate"
"527","CL2_bis","Cap Leucate"
"528","CL3","Cap Leucate"
"529","CL4","Cap Leucate"
"530","CL5","Cap Leucate"
"531","CL6","Cap Leucate"
"532","Coelho","Coelho"
"533","Coll1","Collioure"
"534","Coll2","Collioure"
"535","Coll3","Collioure"
"536","Cruquius","Overzijde Spaarne"
"537","de-1","fietsersbrug aarschot"
"538","de-10","IN_MZ_RODEMER"
"539","de-11","SO_MZ_ROZB"
"540","de-12","de-12"
"541","de-12","SA_SB_LODE"
"542","de-12","IN_VB_LODEMER"
"543","de-12","SA_SB_RODE_VOETGANGERS"
"544","de-13","4"
"545","de-13","IN_VB_ROZB"
"546","de-13","de-13"
"547","de-14","SA_SB_RODEMER"
"548","de-14","de-14"
"549","de-15","IN_KB_TUNNEL"
"550","de-16","SO_SB_RODEMER"
"551","de-18","SA_KS_LOZB"
"552","de-19","IN_KS_ROZWDEMER"
"553","de-2","rommelaar"
"554","de-2","Rommelaar"
"555","de-20","SO_KS_LOZB"
"556","de-21","SA_KS_RODEMER"
"557","de-22","SO_KS_LODEMER"
"558","de-23","SO2_KS_RODEMER"
"559","de-3","Messelbroek"
"560","de-4","Testelt"
"561","de-5","SO_ZICHEM_DEMER"
"562","de-6","SA_RIF_LODEMER"
"563","de-7","de-7"
"564","de-8","SA Hasselt"
"565","de-8","AAN_GB2_RODEMER"
"566","de-9","de-9"
"567","de-9","SA_GB_RODEMER"
"568","Dend","Zeeschelde - Dendermonde - Ponton Brandweer"
"569","De Poel","10 meter voor gemaal linkerzijde"
"570","du-Hamveer","Durme Hamveer"
"571","Enkhuizen","KNRM steiger"
"572","ES-1","ES-1"
"573","ES-2","ES-2"
"574","F1","F1"
"575","F2","F2"
"576","F3","F3"
"577","F4","F4"
"578","F5","F5"
"579","F6","F6"
"580","Fim total","Fim total"
"581","FW-1","FW-1"
"582","Galapos_1","Galapos_1"
"583","gn-Lier","Grote Nete Lier"
"584","Grote sluis Noordzee","zuidzijde"
"585","Grote sluis Noordzee","noordzijde"
"586","Grote sluis NZK","noordzijde"
"587","Halfweg boezemzijde","Voor gemaal"
"588","Halfweg NZKzijde","40 meter voor kanaal"
"589","HH1","HH1"
"590","HH10","HH10"
"591","HH10",""
"592","HH11","HH11"
"593","HH11",""
"594","HH2","HH2"
"595","HH3","HH3"
"596","HH4","HH4"
"597","HH5","HH5"
"598","HH5",""
"599","HH6","Terhulzen  Beringen, LO thv Style kapsalon"
"600","HH7","Terbekstraat (Tervant) thv geronoveerd huis"
"601","HH8","brug kanaalweg Tessenderlo"
"602","HH9","HH9"
"603","HH9",""
"604","ID1-C","ID1-C"
"605","ID1-E","ID1-E"
"606","ID1-N","ID1-N"
"607","ID1-S","ID1-S"
"608","ID1-W","ID1-W"
"609","ID-NE","ID-NE"
"610","ID-NW ","ID-NW "
"611","ID-SE","ID-SE"
"612","ID-SW","ID-SW"
"613","IN-1","IN-1"
"614","IN-2","IN-2"
"615","IN-3","IN-3"
"616","IN-4","IN-4"
"617","IN-5","IN-5"
"618","IN-6","IN-6"
"619","IN-7","IN-7"
"620","Jardim das Gorgonias","Jardim das Gorgonias"
"621","Kadoelen 1","Gemaalkom"
"622","Kadoelen 2","Vaart vanaf gemaal"
"623","Kadoelen 2","Polderzijde"
"624","Kadoelen 3","Vaart kanoclub"
"625","Kadoelen 4","Vaart polder in"
"626","Kadoelen 5","Grote vaart"
"627","Katwijk 1","Uitwateringskanaal"
"628","Katwijk 2","Midden voor gemaal"
"629","Katwijk 3","Voor brug"
"630","kGenOst","Kanaal Gent-Oostende - Lovendegem"
"631","klaipeda-1","Klaipeda strait"
"632","klaipeda-2","Klaipeda strait"
"633","klaipeda-3","Klaipeda strait"
"634","klaipeda-4","Klaipeda strait"
"635","Kleine sluis Noordzee","zuidzijde"
"636","Kleine sluis Noordzee","noordzijde"
"637","Kleine sluis NZK","noordzijde"
"638","kn-Lier","Kleine Nete Lier"
"639","Koog ad Zaan","Zaan"
"640","L1","Plymouth"
"641","L2","Plymouth"
"642","L3","Plymouth"
"643","L4","Plymouth"
"644","L5","Plymouth"
"645","L6","Plymouth"
"646","Lagosteiros","Lagosteiros"
"647","Lelystad","Sluizen"
"648","Loosdracht 2b gemaal","Slootje"
"649","Loosdrecht 1",""
"650","Loosdrecht2a sluis","Voor sluis"
"651","Loosdrecht 3","Kade bij huis "
"652","M1","Plymouth"
"653","M-1",""
"654","M-1","Mulzenbrug"
"655","M2","Plymouth"
"656","M-2","m-2"
"657","M-2","M-2"
"658","M-2",""
"659","M3","Plymouth"
"660","M-3",""
"661","M-3","M-3"
"662","M4","Plymouth"
"663","M-4","m-4"
"664","M-4",""
"665","M-4A","M-4A"
"666","M-4A",""
"667","M5","Plymouth"
"668","M-5",""
"669","M-5","M-5"
"670","M6","Plymouth"
"671","M-6",""
"672","M-6","M-6"
"673","M-7","Rupel"
"674","ma-1","ma-1"
"675","ma-1","RO stroomop stuw Borgharen (aan boompje)"
"676","ma-2","LO stroomop stuw Borgharen, aan ingang vistrap"
"677","ma-3","Maas SA Borgharen"
"678","ma-4",""
"679","ma-4","RO Zuid-Willemsvaart Borgharen (aan meetstation)"
"680","ma-4","ma-4"
"681","ma-5","LO stroomaf sluizencomplex Limmel (Julianakanaal), aan steigerpaal"
"682","ma-5","ma-5"
"683","ma-6","LO stroomop sluizen Afferden"
"684","ma-7","LO stroomop stuw Afferden"
"685","ma-8","RO stroomop stuw Afferden"
"686","ma-9","RO stroomop sluizen Afferden"
"687","Maarkebeek - onder eerste knelpunt","Maarkebeek - onder eerste knelpunt"
"688","Markiezaat-1","Afwateringskanaal"
"689","Markiezaat-2","Zuidkant Kreekraksluis"
"690","Markiezaat-3","Noordoostkant Kreekraksluis"
"691","Markiezaat-4","Noordwestkant Kreekraksluis"
"692","Markiezaat-5","Markiezaatsmeer"
"693","Markiezaat-6","Schelde-Rijnkanaal Noord"
"694","Markiezaat-7","Bergsediepsluis oost Bergesediep"
"695","Markiezaat-8","Bergediepsluis west Oosterschelde"
"696","me-7-2","Rupel"
"697","me-7-2b","Rupel"
"698","MerAsp","Bovenschelde - Halverwege Merelbeke/Asper"
"699","Middensluis Noordzee","noordzijde"
"700","Middensluis Noordzee","zuidzijde"
"701","Middensluis NZK","zuidzijde"
"702","Morcegos","Morcegos"
"703","MS-1","MS-1"
"704","MS-10","MS-10"
"705","MS-11","MS-11"
"706","MS-12","MS-12"
"707","MS-13","MS-13"
"708","MS-14","MS-14"
"709","MS-15","MS-15"
"710","MS-16","MS-16"
"711","MS-17","MS-17"
"712","MS-18","MS-18"
"713","MS-19","MS-19"
"714","MS-2","MS-2"
"715","MS-20","MS-20"
"716","MS-21","MS-21"
"717","MS-22","MS-22"
"718","MS-23","MS-23"
"719","MS-24","MS-24"
"720","MS-25","MS-25"
"721","MS-26","MS-26"
"722","MS-27","MS-27"
"723","MS-28","MS-28"
"724","MS-29","MS-29"
"725","MS-3","MS-3"
"726","MS-30","MS-30"
"727","MS-31","MS-31"
"728","MS-32","MS-32"
"729","MS-33","MS-33"
"730","MS-34","MS-34"
"731","MS-35","MS-35"
"732","MS-36","MS-36"
"733","MS-37","MS-37"
"734","MS-38","MS-38"
"735","MS-39","MS-39"
"736","MS-4","MS-4"
"737","MS-40","MS-40"
"738","MS-5","MS-5"
"739","MS-6","MS-6"
"740","MS-7","MS-7"
"741","MS-8","MS-8"
"742","MS-9","MS-9"
"743","Muiden","Aan drie palen"
"744","Nevengeul Oudenaarde (opwaarts)","Nevengeul Oudenaarde (Opwaarts)"
"745","ngAspm","Nevengeul Asper (Midden)"
"746","ngAspsa","Nevengeul Asper (Afwaarts)"
"747","ngAspso","Nevengeul Asper (Opwaarts)"
"748","ngOudm","Nevengeul Oudenaarde (Midden)"
"749","ngOudsa","Nevengeul Oudenaarde (Afwaarts)"
"750","ngOudso","Nevengeul Oudenaarde (Opwaarts)"
"751","Noordzeekanaal","zuidzijde"
"752","Noordzeekanaal","noordzijde"
"753","Ocean Revival","Portimão"
"754","Oranjesluis","Noordzeekanaal noord"
"755","Oranjesluis","Markermeerzijde Noord"
"756","Oranjesluis","Markermeerzijde midden"
"757","Oranjesluis","Markermeerzijde zuid"
"758","Oranjesluis","Noordzeekanaal midden"
"759","Oranjesluis","Noordzeekanaal zuid"
"760","Overtoom 1","NZK zijde"
"761","Overtoom 2","Bij kleine sluis"
"762","Overtoom 3","Gemaal binnenkant"
"763","P1",NA
"764","P10",NA
"765","P11",NA
"766","P12",NA
"767","P13",NA
"768","P14",NA
"769","P15",NA
"770","P16",NA
"771","P17",NA
"772","P18",NA
"773","P19",NA
"774","P2",NA
"775","P20",NA
"776","P3",NA
"777","P4",NA
"778","P5",NA
"779","P6",NA
"780","P7",NA
"781","P8",NA
"782","P9",NA
"783","PC4C-A5-1","PC4C-A5-1"
"784","PC4C-A5-2","PC4C-A5-2"
"785","PC4C-A5-3","PC4C-A5-3"
"786","PC4C-A5-4","PC4C-A5-4"
"787","PC4C-A5-5","PC4C-A5-5"
"788","PC4C-A5-6","PC4C-A5-6"
"789","PC4C-A6-1","PC4C-A6-1"
"790","PC4C-A7-1","PC4C-A7-1"
"791","PC4C-A7-2","PC4C-A7-2"
"792","PC4C-A7-3","PC4C-A7-3"
"793","PC4C-A7-4","PC4C-A7-4"
"794","PC4C-A7-5","PC4C-A7-5"
"795","PC4C-A7-6","PC4C-A7-6"
"796","PC4C-A8-1","PC4C-A8-1"
