eventid,occurrenceid,scientificname,kingdom,vernacularname,sex,taxonrank
etn:2012_leopoldkanaal:425:event-capture,etn:2012_leopoldkanaal:425:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:426:event-capture,etn:2012_leopoldkanaal:426:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:427:event-capture,etn:2012_leopoldkanaal:427:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:428:event-capture,etn:2012_leopoldkanaal:428:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:430:event-capture,etn:2012_leopoldkanaal:430:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:431:event-capture,etn:2012_leopoldkanaal:431:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:432:event-capture,etn:2012_leopoldkanaal:432:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:433:event-capture,etn:2012_leopoldkanaal:433:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:434:event-capture,etn:2012_leopoldkanaal:434:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:435:event-capture,etn:2012_leopoldkanaal:435:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:436:event-capture,etn:2012_leopoldkanaal:436:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:437:event-capture,etn:2012_leopoldkanaal:437:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:439:event-capture,etn:2012_leopoldkanaal:439:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:440:event-capture,etn:2012_leopoldkanaal:440:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:441:event-capture,etn:2012_leopoldkanaal:441:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:447:event-capture,etn:2012_leopoldkanaal:447:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:449:event-capture,etn:2012_leopoldkanaal:449:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:450:event-capture,etn:2012_leopoldkanaal:450:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:460:event-capture,etn:2012_leopoldkanaal:460:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:463:event-capture,etn:2012_leopoldkanaal:463:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:464:event-capture,etn:2012_leopoldkanaal:464:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:465:event-capture,etn:2012_leopoldkanaal:465:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:466:event-capture,etn:2012_leopoldkanaal:466:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:467:event-capture,etn:2012_leopoldkanaal:467:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:459:event-capture,etn:2012_leopoldkanaal:459:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:468:event-capture,etn:2012_leopoldkanaal:468:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:469:event-capture,etn:2012_leopoldkanaal:469:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:470:event-capture,etn:2012_leopoldkanaal:470:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:471:event-capture,etn:2012_leopoldkanaal:471:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:472:event-capture,etn:2012_leopoldkanaal:472:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:473:event-capture,etn:2012_leopoldkanaal:473:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:474:event-capture,etn:2012_leopoldkanaal:474:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:475:event-capture,etn:2012_leopoldkanaal:475:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:476:event-capture,etn:2012_leopoldkanaal:476:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:477:event-capture,etn:2012_leopoldkanaal:477:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:485:event-capture,etn:2012_leopoldkanaal:485:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:487:event-capture,etn:2012_leopoldkanaal:487:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:443:event-capture,etn:2012_leopoldkanaal:443:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:452:event-capture,etn:2012_leopoldkanaal:452:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:453:event-capture,etn:2012_leopoldkanaal:453:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:454:event-capture,etn:2012_leopoldkanaal:454:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:455:event-capture,etn:2012_leopoldkanaal:455:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:461:event-capture,etn:2012_leopoldkanaal:461:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:462:event-capture,etn:2012_leopoldkanaal:462:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:387:event-capture,etn:2012_leopoldkanaal:387:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:388:event-capture,etn:2012_leopoldkanaal:388:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:392:event-capture,etn:2012_leopoldkanaal:392:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:396:event-capture,etn:2012_leopoldkanaal:396:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:399:event-capture,etn:2012_leopoldkanaal:399:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:229:event-capture,etn:2012_leopoldkanaal:229:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:397:event-capture,etn:2012_leopoldkanaal:397:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:403:event-capture,etn:2012_leopoldkanaal:403:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:442:event-capture,etn:2012_leopoldkanaal:442:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:446:event-capture,etn:2012_leopoldkanaal:446:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:478:event-capture,etn:2012_leopoldkanaal:478:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:479:event-capture,etn:2012_leopoldkanaal:479:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:480:event-capture,etn:2012_leopoldkanaal:480:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:481:event-capture,etn:2012_leopoldkanaal:481:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:482:event-capture,etn:2012_leopoldkanaal:482:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:484:event-capture,etn:2012_leopoldkanaal:484:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2012_leopoldkanaal:483:event-capture,etn:2012_leopoldkanaal:483:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2272:event-capture,etn:2013_albertkanaal:2272:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:720:event-capture,etn:2013_albertkanaal:720:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:723:event-capture,etn:2013_albertkanaal:723:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:722:event-capture,etn:2013_albertkanaal:722:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:326:event-capture,etn:2013_albertkanaal:326:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2266:event-capture,etn:2013_albertkanaal:2266:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:330:event-capture,etn:2013_albertkanaal:330:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2273:event-capture,etn:2013_albertkanaal:2273:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:716:event-capture,etn:2013_albertkanaal:716:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:727:event-capture,etn:2013_albertkanaal:727:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:728:event-capture,etn:2013_albertkanaal:728:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:714:event-capture,etn:2013_albertkanaal:714:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:717:event-capture,etn:2013_albertkanaal:717:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:718:event-capture,etn:2013_albertkanaal:718:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:719:event-capture,etn:2013_albertkanaal:719:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:729:event-capture,etn:2013_albertkanaal:729:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2268:event-capture,etn:2013_albertkanaal:2268:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2274:event-capture,etn:2013_albertkanaal:2274:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:713:event-capture,etn:2013_albertkanaal:713:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:331:event-capture,etn:2013_albertkanaal:331:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:328:event-capture,etn:2013_albertkanaal:328:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:325:event-capture,etn:2013_albertkanaal:325:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:324:event-capture,etn:2013_albertkanaal:324:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:334:event-capture,etn:2013_albertkanaal:334:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:338:event-capture,etn:2013_albertkanaal:338:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2351:event-capture,etn:2013_albertkanaal:2351:occurrence-capture,Salmo salar,Animalia,Atlantic salmon,unknown,species
etn:2013_albertkanaal:2352:event-capture,etn:2013_albertkanaal:2352:occurrence-capture,Salmo salar,Animalia,Atlantic salmon,unknown,species
etn:2013_albertkanaal:2353:event-capture,etn:2013_albertkanaal:2353:occurrence-capture,Salmo salar,Animalia,Atlantic salmon,unknown,species
etn:2013_albertkanaal:346:event-capture,etn:2013_albertkanaal:346:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2357:event-capture,etn:2013_albertkanaal:2357:occurrence-capture,Salmo salar,Animalia,Atlantic salmon,unknown,species
etn:2013_albertkanaal:721:event-capture,etn:2013_albertkanaal:721:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:329:event-capture,etn:2013_albertkanaal:329:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2348:event-capture,etn:2013_albertkanaal:2348:occurrence-capture,Salmo salar,Animalia,Atlantic salmon,unknown,species
etn:2013_albertkanaal:2780:event-capture,etn:2013_albertkanaal:2780:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2269:event-capture,etn:2013_albertkanaal:2269:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2270:event-capture,etn:2013_albertkanaal:2270:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:357:event-capture,etn:2013_albertkanaal:357:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:358:event-capture,etn:2013_albertkanaal:358:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2271:event-capture,etn:2013_albertkanaal:2271:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:360:event-capture,etn:2013_albertkanaal:360:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:316:event-capture,etn:2013_albertkanaal:316:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:705:event-capture,etn:2013_albertkanaal:705:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:704:event-capture,etn:2013_albertkanaal:704:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:707:event-capture,etn:2013_albertkanaal:707:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:708:event-capture,etn:2013_albertkanaal:708:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:709:event-capture,etn:2013_albertkanaal:709:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2785:event-capture,etn:2013_albertkanaal:2785:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
etn:2013_albertkanaal:2282:event-capture,etn:2013_albertkanaal:2282:occurrence-capture,Anguilla anguilla,Animalia,European eel,female,species
