eventID,occurrenceID,measurementType,measurementUnit,measurementValue
,2013_albertkanaal:353:occurrence-capture,pectoral fin length,mm,40
,2013_albertkanaal:354:occurrence-capture,pectoral fin length,mm,45.4
,2013_albertkanaal:355:occurrence-capture,pectoral fin length,mm,46.8
,2013_albertkanaal:359:occurrence-capture,pectoral fin length,mm,36
,2013_albertkanaal:360:occurrence-capture,pectoral fin length,mm,45
,2013_albertkanaal:2286:occurrence-capture,pectoral fin length,mm,42.75
,2013_albertkanaal:2287:occurrence-capture,pectoral fin length,mm,40.1
,2013_albertkanaal:2288:occurrence-capture,pectoral fin length,mm,31.6
,2013_albertkanaal:2289:occurrence-capture,pectoral fin length,mm,37.95
,2015_phd_verhelst:638:occurrence-capture,horizontal eye diameter,mm,8.55
,2015_phd_verhelst:639:occurrence-capture,horizontal eye diameter,mm,8.9
,2015_phd_verhelst:640:occurrence-capture,horizontal eye diameter,mm,8.02
,2015_phd_verhelst:642:occurrence-capture,horizontal eye diameter,mm,7.84
,2015_phd_verhelst:643:occurrence-capture,horizontal eye diameter,mm,7.67
,2015_phd_verhelst:644:occurrence-capture,horizontal eye diameter,mm,7.82
,2015_phd_verhelst:2160:occurrence-capture,vertical eye diameter,mm,6.48
,2015_phd_verhelst:646:occurrence-capture,horizontal eye diameter,mm,8.52
,2015_phd_verhelst:647:occurrence-capture,horizontal eye diameter,mm,8.44
,2015_phd_verhelst:648:occurrence-capture,horizontal eye diameter,mm,9.55
,2015_phd_verhelst:613:occurrence-capture,horizontal eye diameter,mm,7.36
,2015_phd_verhelst:614:occurrence-capture,horizontal eye diameter,mm,8.48
,2015_phd_verhelst:615:occurrence-capture,horizontal eye diameter,mm,8.51
,2015_phd_verhelst:616:occurrence-capture,horizontal eye diameter,mm,9.13
,2015_phd_verhelst:617:occurrence-capture,horizontal eye diameter,mm,10.09
,2015_phd_verhelst:618:occurrence-capture,horizontal eye diameter,mm,9.72
,2015_phd_verhelst:2226:occurrence-capture,horizontal eye diameter,mm,9.69
,2015_phd_verhelst:2222:occurrence-capture,horizontal eye diameter,mm,11.06
,2015_phd_verhelst:2223:occurrence-capture,horizontal eye diameter,mm,8.66
,2015_phd_verhelst:2224:occurrence-capture,horizontal eye diameter,mm,8.44
,2015_phd_verhelst:2221:occurrence-capture,horizontal eye diameter,mm,10.49
,2015_phd_verhelst:2225:occurrence-capture,horizontal eye diameter,mm,9.08
,2015_phd_verhelst:2227:occurrence-capture,horizontal eye diameter,mm,8.89
,2015_phd_verhelst:2228:occurrence-capture,horizontal eye diameter,mm,8.46
,2015_phd_verhelst:2229:occurrence-capture,horizontal eye diameter,mm,7.83
,2015_phd_verhelst:2230:occurrence-capture,horizontal eye diameter,mm,7.76
,2015_phd_verhelst:2231:occurrence-capture,horizontal eye diameter,mm,8.63
,2015_phd_verhelst:2232:occurrence-capture,horizontal eye diameter,mm,9.78
,2015_phd_verhelst:2234:occurrence-capture,horizontal eye diameter,mm,7.82
,2015_phd_verhelst:2233:occurrence-capture,horizontal eye diameter,mm,10.89
,2015_phd_verhelst:2235:occurrence-capture,horizontal eye diameter,mm,10.09
,2015_phd_verhelst:2236:occurrence-capture,horizontal eye diameter,mm,7.32
,2015_phd_verhelst:2244:occurrence-capture,horizontal eye diameter,mm,9.67
,2015_phd_verhelst:2245:occurrence-capture,horizontal eye diameter,mm,9.72
,2015_phd_verhelst:2246:occurrence-capture,horizontal eye diameter,mm,9.16
,2015_phd_verhelst:2247:occurrence-capture,horizontal eye diameter,mm,9.13
,2015_phd_verhelst:2248:occurrence-capture,horizontal eye diameter,mm,8.14
,2015_phd_verhelst:2249:occurrence-capture,horizontal eye diameter,mm,7.29
,2015_phd_verhelst:2250:occurrence-capture,horizontal eye diameter,mm,8.36
,2015_phd_verhelst:2251:occurrence-capture,horizontal eye diameter,mm,10.16
,2015_phd_verhelst:612:occurrence-capture,horizontal eye diameter,mm,8.17
,2015_phd_verhelst:619:occurrence-capture,horizontal eye diameter,mm,9.76
,2015_phd_verhelst:620:occurrence-capture,horizontal eye diameter,mm,7.18
,2015_phd_verhelst:2252:occurrence-capture,horizontal eye diameter,mm,10.08
,2015_phd_verhelst:2253:occurrence-capture,horizontal eye diameter,mm,9.28
,2015_phd_verhelst:2254:occurrence-capture,horizontal eye diameter,mm,9.42
,2015_phd_verhelst:2255:occurrence-capture,horizontal eye diameter,mm,8.73
,2015_phd_verhelst:2256:occurrence-capture,horizontal eye diameter,mm,10.89
,2015_phd_verhelst:2257:occurrence-capture,horizontal eye diameter,mm,8.11
,2015_phd_verhelst:2258:occurrence-capture,horizontal eye diameter,mm,8.66
,2015_phd_verhelst:2259:occurrence-capture,horizontal eye diameter,mm,12.18
,2015_phd_verhelst:2260:occurrence-capture,horizontal eye diameter,mm,9.74
,2015_phd_verhelst:2261:occurrence-capture,horizontal eye diameter,mm,6.77
,2015_phd_verhelst:2262:occurrence-capture,horizontal eye diameter,mm,8.32
,2015_phd_verhelst:2263:occurrence-capture,horizontal eye diameter,mm,9.73
,2015_phd_verhelst:2264:occurrence-capture,horizontal eye diameter,mm,12.49
,2015_phd_verhelst:2396:occurrence-capture,horizontal eye diameter,mm,11.3
,2015_phd_verhelst:2397:occurrence-capture,horizontal eye diameter,mm,8.16
,2015_phd_verhelst:2398:occurrence-capture,horizontal eye diameter,mm,10.8
,2015_phd_verhelst:2399:occurrence-capture,horizontal eye diameter,mm,8.2
,2015_phd_verhelst:2400:occurrence-capture,horizontal eye diameter,mm,8.36
,2015_phd_verhelst:2218:occurrence-capture,horizontal eye diameter,mm,10.48
,2015_phd_verhelst:2220:occurrence-capture,horizontal eye diameter,mm,6.92
,2015_phd_verhelst:2219:occurrence-capture,horizontal eye diameter,mm,7.97
,2015_phd_verhelst:3210:occurrence-capture,horizontal eye diameter,mm,9.21
,2015_phd_verhelst:3212:occurrence-capture,horizontal eye diameter,mm,8.93
,2015_phd_verhelst:3211:occurrence-capture,horizontal eye diameter,mm,7.47
,2015_phd_verhelst:3209:occurrence-capture,horizontal eye diameter,mm,10.08
,2015_phd_verhelst:3208:occurrence-capture,horizontal eye diameter,mm,11.52
,2015_phd_verhelst:3213:occurrence-capture,horizontal eye diameter,mm,7.63
,2015_phd_verhelst:3529:occurrence-capture,horizontal eye diameter,mm,8.24
,2015_phd_verhelst:3527:occurrence-capture,horizontal eye diameter,mm,10.08
,2015_phd_verhelst:3528:occurrence-capture,horizontal eye diameter,mm,8.65
,2015_phd_verhelst:3530:occurrence-capture,horizontal eye diameter,mm,8.55
,2015_phd_verhelst:3531:occurrence-capture,horizontal eye diameter,mm,9.25
,2013_albertkanaal:2301:occurrence-capture,pectoral fin length,mm,39.1
,2013_albertkanaal:2302:occurrence-capture,pectoral fin length,mm,40.4
,2013_albertkanaal:2303:occurrence-capture,pectoral fin length,mm,42.45
,2013_albertkanaal:2304:occurrence-capture,pectoral fin length,mm,36.6
,2013_albertkanaal:2305:occurrence-capture,pectoral fin length,mm,40.2
,2013_albertkanaal:2306:occurrence-capture,pectoral fin length,mm,38.6
,2013_albertkanaal:2307:occurrence-capture,pectoral fin length,mm,34.3
,2013_albertkanaal:2308:occurrence-capture,pectoral fin length,mm,40
,2013_albertkanaal:2309:occurrence-capture,pectoral fin length,mm,41.15
,2013_albertkanaal:2310:occurrence-capture,pectoral fin length,mm,38.35
,2013_albertkanaal:2311:occurrence-capture,pectoral fin length,mm,38.6
,2015_phd_verhelst:380:occurrence-capture,horizontal eye diameter,mm,7.78
,2015_phd_verhelst:379:occurrence-capture,horizontal eye diameter,mm,7
,2015_phd_verhelst:378:occurrence-capture,horizontal eye diameter,mm,6
,2015_phd_verhelst:381:occurrence-capture,horizontal eye diameter,mm,7.36
,2013_albertkanaal:361:occurrence-capture,pectoral fin length,mm,39.6
,2013_albertkanaal:362:occurrence-capture,pectoral fin length,mm,39.9
,2015_phd_verhelst:598:occurrence-capture,horizontal eye diameter,mm,7.89
,2015_phd_verhelst:599:occurrence-capture,horizontal eye diameter,mm,9.92
,2015_phd_verhelst:600:occurrence-capture,horizontal eye diameter,mm,8.4
,2015_phd_verhelst:601:occurrence-capture,horizontal eye diameter,mm,6.97
,2015_phd_verhelst:602:occurrence-capture,horizontal eye diameter,mm,9.6
,2015_phd_verhelst:603:occurrence-capture,horizontal eye diameter,mm,9.2
,2015_phd_verhelst:604:occurrence-capture,horizontal eye diameter,mm,8.1
,2015_phd_verhelst:625:occurrence-capture,horizontal eye diameter,mm,6.98
,2015_phd_verhelst:595:occurrence-capture,horizontal eye diameter,mm,8.35
,2015_phd_verhelst:596:occurrence-capture,horizontal eye diameter,mm,7.47
,2015_phd_verhelst:597:occurrence-capture,horizontal eye diameter,mm,8.52
,2015_phd_verhelst:605:occurrence-capture,horizontal eye diameter,mm,7.92
,2015_phd_verhelst:606:occurrence-capture,horizontal eye diameter,mm,8.53
,2015_phd_verhelst:607:occurrence-capture,horizontal eye diameter,mm,8.53
,2015_phd_verhelst:608:occurrence-capture,horizontal eye diameter,mm,8.45
,2015_phd_verhelst:609:occurrence-capture,horizontal eye diameter,mm,8.5
,2015_phd_verhelst:610:occurrence-capture,horizontal eye diameter,mm,7.83
,2015_phd_verhelst:611:occurrence-capture,horizontal eye diameter,mm,7.49
,2013_albertkanaal:308:occurrence-capture,pectoral fin length,mm,36.5
,2013_albertkanaal:309:occurrence-capture,pectoral fin length,mm,33.5
,2013_albertkanaal:310:occurrence-capture,pectoral fin length,mm,34.5
,2013_albertkanaal:311:occurrence-capture,pectoral fin length,mm,31.9
,2013_albertkanaal:312:occurrence-capture,pectoral fin length,mm,43.4
,2013_albertkanaal:313:occurrence-capture,pectoral fin length,mm,32.3
,2013_albertkanaal:314:occurrence-capture,pectoral fin length,mm,37.4
,2013_albertkanaal:315:occurrence-capture,pectoral fin length,mm,42.5
,2013_albertkanaal:316:occurrence-capture,pectoral fin length,mm,43
,2013_albertkanaal:307:occurrence-capture,pectoral fin length,mm,34.8
,2013_albertkanaal:319:occurrence-capture,pectoral fin length,mm,40.9
,2013_albertkanaal:324:occurrence-capture,pectoral fin length,mm,37.2
,2013_albertkanaal:325:occurrence-capture,pectoral fin length,mm,38.8
,2013_albertkanaal:326:occurrence-capture,pectoral fin length,mm,47.7
,2013_albertkanaal:327:occurrence-capture,pectoral fin length,mm,41.4
,2013_albertkanaal:328:occurrence-capture,pectoral fin length,mm,39.9
,2013_albertkanaal:329:occurrence-capture,pectoral fin length,mm,47.6
,2013_albertkanaal:330:occurrence-capture,pectoral fin length,mm,44.1
,2013_albertkanaal:331:occurrence-capture,pectoral fin length,mm,44.4
,2013_albertkanaal:337:occurrence-capture,pectoral fin length,mm,39
,2013_albertkanaal:338:occurrence-capture,pectoral fin length,mm,41.3
,2013_albertkanaal:339:occurrence-capture,pectoral fin length,mm,39.4
,2013_albertkanaal:340:occurrence-capture,pectoral fin length,mm,36.8
,2013_albertkanaal:341:occurrence-capture,pectoral fin length,mm,36.8
,2013_albertkanaal:345:occurrence-capture,pectoral fin length,mm,34.2
,2013_albertkanaal:346:occurrence-capture,pectoral fin length,mm,43.2
,2013_albertkanaal:347:occurrence-capture,pectoral fin length,mm,38.2
,2013_albertkanaal:348:occurrence-capture,pectoral fin length,mm,38.8
,2013_albertkanaal:356:occurrence-capture,pectoral fin length,mm,40.76
,2013_albertkanaal:357:occurrence-capture,pectoral fin length,mm,44
,2013_albertkanaal:358:occurrence-capture,pectoral fin length,mm,34
,2015_phd_verhelst:621:occurrence-capture,horizontal eye diameter,mm,7.19
,2015_phd_verhelst:622:occurrence-capture,horizontal eye diameter,mm,8.31
,2015_phd_verhelst:623:occurrence-capture,horizontal eye diameter,mm,9.2
,2015_phd_verhelst:624:occurrence-capture,horizontal eye diameter,mm,7.89
,2013_albertkanaal:2290:occurrence-capture,horizontal eye diameter,mm,11.8
,2013_albertkanaal:2291:occurrence-capture,horizontal eye diameter,mm,10.8
,2013_albertkanaal:2292:occurrence-capture,horizontal eye diameter,mm,10.1
,2013_albertkanaal:2293:occurrence-capture,horizontal eye diameter,mm,9.6
,2013_albertkanaal:2294:occurrence-capture,horizontal eye diameter,mm,10
,2013_albertkanaal:2295:occurrence-capture,horizontal eye diameter,mm,11.2
,2013_albertkanaal:2296:occurrence-capture,horizontal eye diameter,mm,11.45
,2013_albertkanaal:2297:occurrence-capture,horizontal eye diameter,mm,10.2
,2013_albertkanaal:2298:occurrence-capture,horizontal eye diameter,mm,10.15
,2013_albertkanaal:2299:occurrence-capture,horizontal eye diameter,mm,12.95
,2013_albertkanaal:2300:occurrence-capture,horizontal eye diameter,mm,10.45
,2013_albertkanaal:2779:occurrence-capture,horizontal eye diameter,mm,11.35
,2013_albertkanaal:2780:occurrence-capture,horizontal eye diameter,mm,10.95
,2013_albertkanaal:2781:occurrence-capture,horizontal eye diameter,mm,12.1
,2013_albertkanaal:2782:occurrence-capture,horizontal eye diameter,mm,10.45
,2013_albertkanaal:2783:occurrence-capture,horizontal eye diameter,mm,9.85
,2013_albertkanaal:2784:occurrence-capture,horizontal eye diameter,mm,12.5
,2013_albertkanaal:2785:occurrence-capture,horizontal eye diameter,mm,11
,2013_albertkanaal:2786:occurrence-capture,horizontal eye diameter,mm,12.95
,2013_albertkanaal:2787:occurrence-capture,horizontal eye diameter,mm,10
,2013_albertkanaal:2788:occurrence-capture,horizontal eye diameter,mm,11.55
,2013_albertkanaal:720:occurrence-capture,horizontal eye diameter,mm,9.23
,2013_albertkanaal:704:occurrence-capture,horizontal eye diameter,mm,11.8
,2012_leopoldkanaal:438:occurrence-capture,vertical eye diameter,mm,6.8
,2012_leopoldkanaal:439:occurrence-capture,vertical eye diameter,mm,7.4
,2012_leopoldkanaal:440:occurrence-capture,vertical eye diameter,mm,6.8
,2012_leopoldkanaal:441:occurrence-capture,vertical eye diameter,mm,8.05
,2012_leopoldkanaal:442:occurrence-capture,vertical eye diameter,mm,7.3
,2012_leopoldkanaal:443:occurrence-capture,vertical eye diameter,mm,7.2
,2012_leopoldkanaal:444:occurrence-capture,vertical eye diameter,mm,6.4
,2012_leopoldkanaal:445:occurrence-capture,vertical eye diameter,mm,6.1
,2012_leopoldkanaal:446:occurrence-capture,vertical eye diameter,mm,8.1
,2012_leopoldkanaal:447:occurrence-capture,vertical eye diameter,mm,5.9
,2012_leopoldkanaal:448:occurrence-capture,vertical eye diameter,mm,7
,2012_leopoldkanaal:449:occurrence-capture,vertical eye diameter,mm,7.1
,2012_leopoldkanaal:450:occurrence-capture,vertical eye diameter,mm,8.4
,2012_leopoldkanaal:451:occurrence-capture,vertical eye diameter,mm,7.1
,2012_leopoldkanaal:452:occurrence-capture,vertical eye diameter,mm,7.85
,2012_leopoldkanaal:453:occurrence-capture,vertical eye diameter,mm,6.15
,2012_leopoldkanaal:454:occurrence-capture,vertical eye diameter,mm,7.1
,2012_leopoldkanaal:455:occurrence-capture,vertical eye diameter,mm,6.6
,2012_leopoldkanaal:456:occurrence-capture,vertical eye diameter,mm,6.7
,2012_leopoldkanaal:457:occurrence-capture,vertical eye diameter,mm,6.1
,2012_leopoldkanaal:458:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:459:occurrence-capture,vertical eye diameter,mm,7.1
,2012_leopoldkanaal:460:occurrence-capture,vertical eye diameter,mm,6.6
,2012_leopoldkanaal:461:occurrence-capture,vertical eye diameter,mm,8.1
,2012_leopoldkanaal:462:occurrence-capture,vertical eye diameter,mm,6.6
,2012_leopoldkanaal:463:occurrence-capture,vertical eye diameter,mm,4.95
,2012_leopoldkanaal:464:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:465:occurrence-capture,vertical eye diameter,mm,6.35
,2012_leopoldkanaal:466:occurrence-capture,vertical eye diameter,mm,5.8
,2012_leopoldkanaal:467:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:468:occurrence-capture,vertical eye diameter,mm,6.2
,2012_leopoldkanaal:469:occurrence-capture,vertical eye diameter,mm,6.2
,2012_leopoldkanaal:470:occurrence-capture,vertical eye diameter,mm,5.8
,2012_leopoldkanaal:471:occurrence-capture,vertical eye diameter,mm,6
,2012_leopoldkanaal:472:occurrence-capture,vertical eye diameter,mm,8.8
,2012_leopoldkanaal:473:occurrence-capture,vertical eye diameter,mm,8.9
,2012_leopoldkanaal:474:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:475:occurrence-capture,vertical eye diameter,mm,7
,2012_leopoldkanaal:476:occurrence-capture,vertical eye diameter,mm,6.35
,2012_leopoldkanaal:477:occurrence-capture,vertical eye diameter,mm,6.75
,2012_leopoldkanaal:478:occurrence-capture,vertical eye diameter,mm,10.15
,2012_leopoldkanaal:479:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:480:occurrence-capture,vertical eye diameter,mm,6.6
,2012_leopoldkanaal:481:occurrence-capture,vertical eye diameter,mm,6.9
,2012_leopoldkanaal:482:occurrence-capture,vertical eye diameter,mm,7.65
,2012_leopoldkanaal:484:occurrence-capture,vertical eye diameter,mm,7.1
,2012_leopoldkanaal:485:occurrence-capture,vertical eye diameter,mm,8.75
,2012_leopoldkanaal:486:occurrence-capture,vertical eye diameter,mm,8
,2012_leopoldkanaal:487:occurrence-capture,vertical eye diameter,mm,6.7
,2012_leopoldkanaal:229:occurrence-capture,vertical eye diameter,mm,8.2
,2012_leopoldkanaal:230:occurrence-capture,vertical eye diameter,mm,8.1
,2012_leopoldkanaal:231:occurrence-capture,vertical eye diameter,mm,9.9
,2012_leopoldkanaal:232:occurrence-capture,vertical eye diameter,mm,7.56
,2012_leopoldkanaal:387:occurrence-capture,vertical eye diameter,mm,7.53
,2012_leopoldkanaal:388:occurrence-capture,vertical eye diameter,mm,5.45
,2013_albertkanaal:389:occurrence-capture,horizontal eye diameter,mm,10.4
,2012_leopoldkanaal:390:occurrence-capture,vertical eye diameter,mm,6.37
,2012_leopoldkanaal:391:occurrence-capture,vertical eye diameter,mm,4.64
,2012_leopoldkanaal:392:occurrence-capture,vertical eye diameter,mm,6.83
,2012_leopoldkanaal:393:occurrence-capture,vertical eye diameter,mm,7.86
,2012_leopoldkanaal:394:occurrence-capture,vertical eye diameter,mm,10.1
,2012_leopoldkanaal:395:occurrence-capture,vertical eye diameter,mm,8.03
,2012_leopoldkanaal:396:occurrence-capture,vertical eye diameter,mm,7.18
,2012_leopoldkanaal:397:occurrence-capture,vertical eye diameter,mm,10.97
,2012_leopoldkanaal:398:occurrence-capture,vertical eye diameter,mm,10.2
,2012_leopoldkanaal:399:occurrence-capture,vertical eye diameter,mm,8.25
,2012_leopoldkanaal:400:occurrence-capture,vertical eye diameter,mm,7.9
,2012_leopoldkanaal:401:occurrence-capture,vertical eye diameter,mm,8.32
,2012_leopoldkanaal:402:occurrence-capture,vertical eye diameter,mm,6.3
,2012_leopoldkanaal:403:occurrence-capture,vertical eye diameter,mm,8.1
,2012_leopoldkanaal:404:occurrence-capture,vertical eye diameter,mm,8
,2012_leopoldkanaal:405:occurrence-capture,vertical eye diameter,mm,6.8
,2012_leopoldkanaal:406:occurrence-capture,vertical eye diameter,mm,5.08
,2012_leopoldkanaal:407:occurrence-capture,vertical eye diameter,mm,7.94
,2012_leopoldkanaal:408:occurrence-capture,vertical eye diameter,mm,7.4
,2012_leopoldkanaal:409:occurrence-capture,vertical eye diameter,mm,8.8
,2012_leopoldkanaal:410:occurrence-capture,vertical eye diameter,mm,8.41
,2012_leopoldkanaal:411:occurrence-capture,vertical eye diameter,mm,7.53
,2012_leopoldkanaal:412:occurrence-capture,vertical eye diameter,mm,6.51
,2012_leopoldkanaal:413:occurrence-capture,vertical eye diameter,mm,7.49
,2012_leopoldkanaal:414:occurrence-capture,vertical eye diameter,mm,8.4
,2012_leopoldkanaal:415:occurrence-capture,vertical eye diameter,mm,7.9
,2012_leopoldkanaal:416:occurrence-capture,vertical eye diameter,mm,7.7
,2012_leopoldkanaal:417:occurrence-capture,vertical eye diameter,mm,8.8
,2012_leopoldkanaal:418:occurrence-capture,vertical eye diameter,mm,8.51
,2012_leopoldkanaal:419:occurrence-capture,vertical eye diameter,mm,8.8
,2012_leopoldkanaal:420:occurrence-capture,vertical eye diameter,mm,8.2
,2012_leopoldkanaal:421:occurrence-capture,vertical eye diameter,mm,8
,2012_leopoldkanaal:422:occurrence-capture,vertical eye diameter,mm,9.2
,2012_leopoldkanaal:423:occurrence-capture,vertical eye diameter,mm,10.9
,2012_leopoldkanaal:424:occurrence-capture,vertical eye diameter,mm,11.1
,2012_leopoldkanaal:425:occurrence-capture,vertical eye diameter,mm,7.6
,2012_leopoldkanaal:426:occurrence-capture,vertical eye diameter,mm,8.3
,2012_leopoldkanaal:427:occurrence-capture,vertical eye diameter,mm,9.7
,2012_leopoldkanaal:428:occurrence-capture,vertical eye diameter,mm,10.58
,2012_leopoldkanaal:429:occurrence-capture,vertical eye diameter,mm,10.1
,2012_leopoldkanaal:430:occurrence-capture,vertical eye diameter,mm,9.88
,2012_leopoldkanaal:431:occurrence-capture,vertical eye diameter,mm,10.11
,2012_leopoldkanaal:432:occurrence-capture,vertical eye diameter,mm,9.67
,2012_leopoldkanaal:433:occurrence-capture,vertical eye diameter,mm,11.52
,2012_leopoldkanaal:434:occurrence-capture,vertical eye diameter,mm,8.39
,2012_leopoldkanaal:435:occurrence-capture,vertical eye diameter,mm,12.59
,2012_leopoldkanaal:436:occurrence-capture,vertical eye diameter,mm,11.65
,2012_leopoldkanaal:437:occurrence-capture,vertical eye diameter,mm,7.4
,2015_dijle:499:occurrence-capture,vertical eye diameter,mm,7.86
,2013_albertkanaal:705:occurrence-capture,horizontal eye diameter,mm,9.6
,2013_albertkanaal:706:occurrence-capture,horizontal eye diameter,mm,11.41
,2013_albertkanaal:707:occurrence-capture,horizontal eye diameter,mm,10.62
,2013_albertkanaal:708:occurrence-capture,horizontal eye diameter,mm,10.69
,2013_albertkanaal:709:occurrence-capture,horizontal eye diameter,mm,12.18
,2013_albertkanaal:710:occurrence-capture,horizontal eye diameter,mm,11.14
,2013_albertkanaal:711:occurrence-capture,horizontal eye diameter,mm,11.39
,2013_albertkanaal:712:occurrence-capture,horizontal eye diameter,mm,10.4
,2013_albertkanaal:713:occurrence-capture,horizontal eye diameter,mm,9.25
,2013_albertkanaal:714:occurrence-capture,horizontal eye diameter,mm,11.58
,2013_albertkanaal:715:occurrence-capture,horizontal eye diameter,mm,10.93
,2013_albertkanaal:716:occurrence-capture,horizontal eye diameter,mm,13.23
,2013_albertkanaal:717:occurrence-capture,horizontal eye diameter,mm,11.33
,2013_albertkanaal:718:occurrence-capture,horizontal eye diameter,mm,9.33
,2013_albertkanaal:719:occurrence-capture,horizontal eye diameter,mm,10.09
,2013_albertkanaal:2312:occurrence-capture,horizontal eye diameter,mm,11.6
,2013_albertkanaal:2313:occurrence-capture,horizontal eye diameter,mm,10.65
,2013_albertkanaal:2314:occurrence-capture,horizontal eye diameter,mm,10.85
,2013_albertkanaal:721:occurrence-capture,horizontal eye diameter,mm,10.36
,2013_albertkanaal:723:occurrence-capture,horizontal eye diameter,mm,11.59
,2013_albertkanaal:722:occurrence-capture,horizontal eye diameter,mm,10.29
,2013_albertkanaal:724:occurrence-capture,horizontal eye diameter,mm,11.13
,2013_albertkanaal:725:occurrence-capture,horizontal eye diameter,mm,10.35
,2013_albertkanaal:726:occurrence-capture,horizontal eye diameter,mm,11.13
,2013_albertkanaal:727:occurrence-capture,horizontal eye diameter,mm,11.4
,2013_albertkanaal:728:occurrence-capture,horizontal eye diameter,mm,11.6
,2013_albertkanaal:729:occurrence-capture,horizontal eye diameter,mm,11.8
,2013_albertkanaal:2315:occurrence-capture,horizontal eye diameter,mm,11.55
,2013_albertkanaal:2316:occurrence-capture,horizontal eye diameter,mm,10.05
,2013_albertkanaal:2317:occurrence-capture,horizontal eye diameter,mm,11.5
,2013_albertkanaal:2318:occurrence-capture,horizontal eye diameter,mm,10.5
,2013_albertkanaal:2319:occurrence-capture,horizontal eye diameter,mm,10.9
,2013_albertkanaal:2320:occurrence-capture,horizontal eye diameter,mm,10.6
,2013_albertkanaal:2321:occurrence-capture,horizontal eye diameter,mm,9.15
,2013_albertkanaal:2322:occurrence-capture,horizontal eye diameter,mm,10.95
,2013_albertkanaal:2323:occurrence-capture,horizontal eye diameter,mm,9.55
,2013_albertkanaal:2324:occurrence-capture,horizontal eye diameter,mm,11.25
,2013_albertkanaal:2325:occurrence-capture,horizontal eye diameter,mm,11.2
,2015_phd_verhelst:2401:occurrence-capture,vertical eye diameter,mm,7.75
,2015_phd_verhelst:2411:occurrence-capture,vertical eye diameter,mm,8.26
,2015_phd_verhelst:2413:occurrence-capture,vertical eye diameter,mm,9.17
,2015_phd_verhelst:2414:occurrence-capture,vertical eye diameter,mm,7.41
,2015_phd_verhelst:2415:occurrence-capture,vertical eye diameter,mm,8.84
,2015_phd_verhelst:2412:occurrence-capture,vertical eye diameter,mm,7.25
,2015_phd_verhelst:2416:occurrence-capture,vertical eye diameter,mm,6.94
,2015_phd_verhelst:2417:occurrence-capture,vertical eye diameter,mm,7.8
,2015_phd_verhelst:2419:occurrence-capture,vertical eye diameter,mm,7.75
,2015_phd_verhelst:2418:occurrence-capture,vertical eye diameter,mm,7.43
,2015_phd_verhelst:2424:occurrence-capture,vertical eye diameter,mm,7.52
,2015_phd_verhelst:2423:occurrence-capture,vertical eye diameter,mm,8.23
,2015_phd_verhelst:2422:occurrence-capture,vertical eye diameter,mm,7.63
,2015_phd_verhelst:2421:occurrence-capture,vertical eye diameter,mm,8.05
,2015_phd_verhelst:2420:occurrence-capture,vertical eye diameter,mm,9.2
,2015_phd_verhelst:2425:occurrence-capture,vertical eye diameter,mm,8.12
,2015_phd_verhelst:2426:occurrence-capture,vertical eye diameter,mm,7.84
,2015_phd_verhelst:2427:occurrence-capture,vertical eye diameter,mm,7.62
,2015_phd_verhelst:2428:occurrence-capture,vertical eye diameter,mm,8.93
,2015_phd_verhelst:2429:occurrence-capture,vertical eye diameter,mm,7.11
,2015_phd_verhelst:2430:occurrence-capture,vertical eye diameter,mm,10.06
,2015_phd_verhelst:2431:occurrence-capture,vertical eye diameter,mm,7.82
,2015_phd_verhelst:2432:occurrence-capture,vertical eye diameter,mm,10.39
,2015_phd_verhelst:2777:occurrence-capture,vertical eye diameter,mm,9.7
,2015_phd_verhelst:2433:occurrence-capture,vertical eye diameter,mm,9.43
,2015_phd_verhelst:2407:occurrence-capture,vertical eye diameter,mm,8.91
,2015_phd_verhelst:2410:occurrence-capture,vertical eye diameter,mm,9.09
,2015_phd_verhelst:2778:occurrence-capture,vertical eye diameter,mm,7.97
,2015_phd_verhelst:2408:occurrence-capture,vertical eye diameter,mm,6.2
,2015_phd_verhelst:2409:occurrence-capture,vertical eye diameter,mm,6.43
,2015_phd_verhelst:2403:occurrence-capture,vertical eye diameter,mm,7.52
,2015_phd_verhelst:2404:occurrence-capture,vertical eye diameter,mm,7.7
,2015_phd_verhelst:2405:occurrence-capture,vertical eye diameter,mm,9.66
,2015_phd_verhelst:2406:occurrence-capture,vertical eye diameter,mm,7.18
,2015_phd_verhelst:2402:occurrence-capture,vertical eye diameter,mm,9.35
,2013_albertkanaal:317:occurrence-capture,horizontal eye diameter,mm,10.6
,2013_albertkanaal:318:occurrence-capture,horizontal eye diameter,mm,11.2
,2013_albertkanaal:320:occurrence-capture,horizontal eye diameter,mm,10.8
,2013_albertkanaal:321:occurrence-capture,horizontal eye diameter,mm,9.3
,2013_albertkanaal:322:occurrence-capture,horizontal eye diameter,mm,11.6
,2013_albertkanaal:323:occurrence-capture,horizontal eye diameter,mm,10.1
,2013_albertkanaal:332:occurrence-capture,horizontal eye diameter,mm,12.5
