eventid,measurementtype,measurementvalue,measurementunit
etn:bpns:1921:event-receiver-deployment,receiver status,active,""
etn:bpns:1921:event-receiver-deployment,receiver id,VR2W-123823,""
etn:bpns:1922:event-receiver-deployment,receiver status,active,""
etn:bpns:1922:event-receiver-deployment,receiver id,VR2W-123823,""
etn:bpns:1922:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1922:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:1923:event-receiver-deployment,receiver status,active,""
etn:bpns:1923:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1923:event-receiver-deployment,receiver id,VR2W-123828,""
etn:bpns:1924:event-receiver-deployment,receiver id,VR2W-123828,""
etn:bpns:1924:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1924:event-receiver-deployment,receiver status,active,""
etn:bpns:1925:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1925:event-receiver-deployment,receiver id,VR2W-123828,""
etn:bpns:1925:event-receiver-deployment,receiver status,active,""
etn:bpns:1926:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1926:event-receiver-deployment,receiver drop dead date,2016-09-25,""
etn:bpns:1926:event-receiver-deployment,receiver status,active,""
etn:bpns:1926:event-receiver-deployment,receiver id,VR2W-123828,""
etn:bpns:1927:event-receiver-deployment,receiver intended coordinates,"latitude: 51.56667, longitude: 2.98333",""
etn:bpns:1927:event-receiver-deployment,receiver id,VR2C-450113,""
etn:bpns:1927:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1927:event-receiver-deployment,receiver status,available,""
etn:bpns:1928:event-receiver-deployment,receiver status,broken,""
etn:bpns:1928:event-receiver-deployment,receiver id,VR2W-123827,""
etn:bpns:1928:event-receiver-deployment,receiver drop dead date,2016-09-25,""
etn:bpns:1928:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1928:event-receiver-deployment,receiver intended coordinates,"latitude: 51.28717, longitude: 2.87917",""
etn:bpns:1987:event-receiver-deployment,receiver status,lost,""
etn:bpns:1987:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:1987:event-receiver-deployment,receiver intended coordinates,"latitude: 51.37617, longitude: 3.17867",""
etn:bpns:1987:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1987:event-receiver-deployment,receiver id,VR2W-123826,""
etn:bpns:1988:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1988:event-receiver-deployment,receiver status,broken,""
etn:bpns:1988:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39133, longitude: 3.30367",""
etn:bpns:1988:event-receiver-deployment,receiver id,VR2W-123824,""
etn:bpns:1988:event-receiver-deployment,receiver drop dead date,2015-06-10,""
etn:bpns:1993:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1993:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1993:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1993:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1993:event-receiver-deployment,receiver status,active,""
etn:bpns:1993:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1993:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1993:event-receiver-deployment,receiver id,VR2AR-546043,""
etn:bpns:1993:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1993:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1994:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1994:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1994:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1994:event-receiver-deployment,receiver id,VR2AR-546044,""
etn:bpns:1994:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1994:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1994:event-receiver-deployment,receiver status,active,""
etn:bpns:1994:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1994:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1994:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1995:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1995:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1995:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1995:event-receiver-deployment,receiver status,active,""
etn:bpns:1995:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1995:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1995:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1995:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1995:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1995:event-receiver-deployment,receiver id,VR2AR-546045,""
etn:bpns:1996:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1996:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1996:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1996:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1996:event-receiver-deployment,receiver status,lost,""
etn:bpns:1996:event-receiver-deployment,receiver id,VR2AR-546046,""
etn:bpns:1996:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1996:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1996:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1996:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1997:event-receiver-deployment,receiver status,active,""
etn:bpns:1997:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1997:event-receiver-deployment,receiver id,VR2AR-546047,""
etn:bpns:1997:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1997:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1997:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1997:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1997:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1997:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1997:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1998:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1998:event-receiver-deployment,receiver id,VR2AR-546048,""
etn:bpns:1998:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1998:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1998:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1998:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:1998:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1998:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1998:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1998:event-receiver-deployment,receiver status,active,""
etn:bpns:1999:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:1999:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:1999:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:1999:event-receiver-deployment,time interval between the recording of depth statistic,86400,s
etn:bpns:1999:event-receiver-deployment,receiver status,lost,""
etn:bpns:1999:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:1999:event-receiver-deployment,receiver id,VR2AR-546049,""
etn:bpns:1999:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:1999:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:1999:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2000:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2000:event-receiver-deployment,receiver status,broken,""
etn:bpns:2000:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2000:event-receiver-deployment,receiver id,VR2W-108474,""
etn:bpns:2001:event-receiver-deployment,receiver status,lost,""
etn:bpns:2001:event-receiver-deployment,receiver intended coordinates,"latitude: 51.46117, longitude: 3.10700",""
etn:bpns:2001:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2001:event-receiver-deployment,receiver id,VR2W-110784,""
etn:bpns:2001:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2002:event-receiver-deployment,receiver id,VR2W-114258,""
etn:bpns:2002:event-receiver-deployment,receiver status,active,""
etn:bpns:2002:event-receiver-deployment,receiver intended coordinates,"latitude: 51.37620, longitude: 3.17870",""
etn:bpns:2002:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2003:event-receiver-deployment,receiver id,VR2W-123823,""
etn:bpns:2003:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2003:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2003:event-receiver-deployment,receiver status,active,""
etn:bpns:2004:event-receiver-deployment,receiver drop dead date,2016-09-25,""
etn:bpns:2004:event-receiver-deployment,receiver id,VR2W-123827,""
etn:bpns:2004:event-receiver-deployment,receiver intended coordinates,"latitude: 51.28717, longitude: 2.87917",""
etn:bpns:2004:event-receiver-deployment,receiver status,broken,""
etn:bpns:2004:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2005:event-receiver-deployment,receiver status,active,""
etn:bpns:2005:event-receiver-deployment,receiver drop dead date,2016-09-25,""
etn:bpns:2005:event-receiver-deployment,receiver id,VR2W-123828,""
etn:bpns:2005:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2006:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2006:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2006:event-receiver-deployment,receiver status,active,""
etn:bpns:2006:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39967, longitude: 3.17367",""
etn:bpns:2006:event-receiver-deployment,receiver id,VR2W-123829,""
etn:bpns:2007:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2007:event-receiver-deployment,receiver status,active,""
etn:bpns:2007:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2007:event-receiver-deployment,receiver intended coordinates,"latitude: 51.43250, longitude: 2.80200",""
etn:bpns:2007:event-receiver-deployment,receiver id,VR2W-110779,""
etn:bpns:2010:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2010:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35633, longitude: 2.51867",""
etn:bpns:2010:event-receiver-deployment,receiver id,VR2W-106251,""
etn:bpns:2010:event-receiver-deployment,receiver status,broken,""
etn:bpns:2010:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2014:event-receiver-deployment,receiver intended coordinates,"latitude: 51.23250, longitude: 2.64317",""
etn:bpns:2014:event-receiver-deployment,receiver id,VR2W-123833,""
etn:bpns:2014:event-receiver-deployment,receiver status,broken,""
etn:bpns:2014:event-receiver-deployment,receiver drop dead date,2017-06-17,""
etn:bpns:2014:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2016:event-receiver-deployment,receiver id,VR2W-114312,""
etn:bpns:2016:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2016:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2016:event-receiver-deployment,receiver status,lost,""
etn:bpns:2036:event-receiver-deployment,receiver status,active,""
etn:bpns:2036:event-receiver-deployment,receiver id,VR2AR-545720,""
etn:bpns:2036:event-receiver-deployment,receiver intended coordinates,"latitude: 51.66739, longitude: 2.79966",""
etn:bpns:2036:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2036:event-receiver-deployment,receiver drop dead date,2016-07-28,""
etn:bpns:2047:event-receiver-deployment,receiver intended coordinates,"latitude: 51.28717, longitude: 2.87917",""
etn:bpns:2047:event-receiver-deployment,receiver status,broken,""
etn:bpns:2047:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2047:event-receiver-deployment,receiver drop dead date,2016-09-25,""
etn:bpns:2047:event-receiver-deployment,receiver id,VR2W-123827,""
etn:bpns:2049:event-receiver-deployment,receiver status,lost,""
etn:bpns:2049:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2049:event-receiver-deployment,receiver id,VR2Tx-480062,""
etn:bpns:2049:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2050:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2050:event-receiver-deployment,receiver status,active,""
etn:bpns:2050:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2050:event-receiver-deployment,receiver id,VR2Tx-480063,""
etn:bpns:2051:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2051:event-receiver-deployment,receiver status,active,""
etn:bpns:2051:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2051:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2051:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2051:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2051:event-receiver-deployment,receiver id,VR2AR-546043,""
etn:bpns:2051:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2051:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2051:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2051:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2052:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2052:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2052:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2052:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2052:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2052:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2052:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2052:event-receiver-deployment,receiver status,active,""
etn:bpns:2052:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2052:event-receiver-deployment,receiver id,VR2AR-546044,""
etn:bpns:2052:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2053:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2053:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2053:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2053:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2053:event-receiver-deployment,receiver id,VR2AR-546045,""
etn:bpns:2053:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2053:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2053:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2053:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2053:event-receiver-deployment,receiver status,active,""
etn:bpns:2053:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2054:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2054:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2054:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2054:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2054:event-receiver-deployment,receiver id,VR2AR-545718,""
etn:bpns:2054:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2054:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2054:event-receiver-deployment,receiver status,available,""
etn:bpns:2054:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2054:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2054:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2055:event-receiver-deployment,receiver status,active,""
etn:bpns:2055:event-receiver-deployment,receiver id,VR2Tx-480061,""
etn:bpns:2055:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2055:event-receiver-deployment,receiver drop dead date,2017-01-08,""
etn:bpns:2055:event-receiver-deployment,receiver intended coordinates,"latitude: 51.22167, longitude: 2.51868",""
etn:bpns:2056:event-receiver-deployment,receiver intended coordinates,"latitude: 51.66882, longitude: 2.80399",""
etn:bpns:2056:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2056:event-receiver-deployment,receiver id,VR2AR-545720,""
etn:bpns:2056:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2056:event-receiver-deployment,receiver status,active,""
etn:bpns:2056:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2056:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2056:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2056:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2056:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2056:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2056:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2057:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2057:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2057:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2057:event-receiver-deployment,receiver id,VR2AR-546046,""
etn:bpns:2057:event-receiver-deployment,receiver status,lost,""
etn:bpns:2057:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2057:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2057:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2057:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2057:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2057:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2058:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2058:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2058:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2058:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2058:event-receiver-deployment,receiver id,VR2AR-546047,""
etn:bpns:2058:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2058:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2058:event-receiver-deployment,receiver status,active,""
etn:bpns:2058:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2058:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2058:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2059:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2059:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2059:event-receiver-deployment,receiver status,active,""
etn:bpns:2059:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2059:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2059:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2059:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2059:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2059:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2059:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2059:event-receiver-deployment,receiver id,VR2AR-546048,""
etn:bpns:2060:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2060:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2060:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2060:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2060:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2060:event-receiver-deployment,receiver id,VR2AR-546049,""
etn:bpns:2060:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2060:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2060:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2060:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2060:event-receiver-deployment,receiver status,lost,""
etn:bpns:2061:event-receiver-deployment,receiver status,lost,""
etn:bpns:2061:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2061:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2061:event-receiver-deployment,receiver id,VR2AR-546050,""
etn:bpns:2061:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2061:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2061:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2061:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2061:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2061:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2061:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2062:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2062:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2062:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2062:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2062:event-receiver-deployment,receiver status,active,""
etn:bpns:2062:event-receiver-deployment,receiver id,VR2AR-546051,""
etn:bpns:2062:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2062:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2062:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2062:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2062:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2063:event-receiver-deployment,time interval between the recording of depth statistic,3600,s
etn:bpns:2063:event-receiver-deployment,time interval between the sample values of noise,600,s
etn:bpns:2063:event-receiver-deployment,time interval between the sample values of depth,3600,s
etn:bpns:2063:event-receiver-deployment,receiver drop dead date,2017-06-04,""
etn:bpns:2063:event-receiver-deployment,time interval between the sample values of temperature,3600,s
etn:bpns:2063:event-receiver-deployment,receiver status,active,""
etn:bpns:2063:event-receiver-deployment,receiver id,VR2AR-546052,""
etn:bpns:2063:event-receiver-deployment,time interval between the recording of noise statistic,600,s
etn:bpns:2063:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2063:event-receiver-deployment,time interval between the sample values of tilt,600,s
etn:bpns:2063:event-receiver-deployment,time interval between recording of temperature statistic,86400,s
etn:bpns:2064:event-receiver-deployment,receiver drop dead date,2017-08-02,""
etn:bpns:2064:event-receiver-deployment,receiver status,active,""
etn:bpns:2064:event-receiver-deployment,receiver id,VR2W-127715,""
etn:bpns:2064:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2064:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39550, longitude: 2.49650",""
etn:bpns:2072:event-receiver-deployment,receiver id,VR2W-127729,""
etn:bpns:2072:event-receiver-deployment,receiver intended coordinates,"latitude: 51.64933, longitude: 2.53383",""
etn:bpns:2072:event-receiver-deployment,receiver status,active,""
etn:bpns:2072:event-receiver-deployment,receiver drop dead date,2016-08-11,""
etn:bpns:2072:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2073:event-receiver-deployment,receiver drop dead date,2017-08-27,""
etn:bpns:2073:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2073:event-receiver-deployment,receiver intended coordinates,"latitude: 51.75700, longitude: 2.66533",""
etn:bpns:2073:event-receiver-deployment,receiver status,available,""
etn:bpns:2073:event-receiver-deployment,receiver id,VR2W-127723,""
etn:bpns:2074:event-receiver-deployment,receiver intended coordinates,"latitude: 51.48533, longitude: 2.29867",""
etn:bpns:2074:event-receiver-deployment,receiver status,active,""
etn:bpns:2074:event-receiver-deployment,receiver id,VR2W-127739,""
etn:bpns:2074:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2074:event-receiver-deployment,receiver drop dead date,2017-08-27,""
etn:bpns:2105:event-receiver-deployment,receiver drop dead date,2017-05-13,""
etn:bpns:2105:event-receiver-deployment,receiver status,active,""
etn:bpns:2105:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35067, longitude: 2.70367",""
etn:bpns:2105:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2105:event-receiver-deployment,receiver id,VR2W-110778,""
etn:bpns:2106:event-receiver-deployment,receiver status,broken,""
etn:bpns:2106:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2106:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2106:event-receiver-deployment,receiver id,VR2W-106251,""
etn:bpns:2106:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35633, longitude: 2.51867",""
etn:bpns:2110:event-receiver-deployment,receiver id,VR2W-123826,""
etn:bpns:2110:event-receiver-deployment,receiver intended coordinates,"latitude: 51.37617, longitude: 3.17867",""
etn:bpns:2110:event-receiver-deployment,receiver status,lost,""
etn:bpns:2110:event-receiver-deployment,receiver drop dead date,2016-09-26,""
etn:bpns:2110:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2112:event-receiver-deployment,receiver id,VR2W-129567,""
etn:bpns:2112:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2112:event-receiver-deployment,receiver drop dead date,2018-02-28,""
etn:bpns:2112:event-receiver-deployment,receiver status,available,""
etn:bpns:2112:event-receiver-deployment,receiver intended coordinates,"latitude: 51.16017, longitude: 2.69183",""
etn:bpns:2118:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2118:event-receiver-deployment,receiver drop dead date,2017-10-13,""
etn:bpns:2118:event-receiver-deployment,receiver id,VR2Tx-480723,""
etn:bpns:2118:event-receiver-deployment,receiver status,active,""
etn:bpns:2118:event-receiver-deployment,receiver intended coordinates,"latitude: 51.64933, longitude: 2.53383",""
etn:bpns:2119:event-receiver-deployment,receiver intended coordinates,"latitude: 51.70442, longitude: 2.81259",""
etn:bpns:2119:event-receiver-deployment,receiver status,available,""
etn:bpns:2119:event-receiver-deployment,receiver drop dead date,2017-01-06,""
etn:bpns:2119:event-receiver-deployment,receiver id,VR2W-129708,""
etn:bpns:2119:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2121:event-receiver-deployment,receiver status,active,""
etn:bpns:2121:event-receiver-deployment,receiver id,VR2W-110778,""
etn:bpns:2121:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2121:event-receiver-deployment,receiver intended coordinates,"latitude: 51.35067, longitude: 2.70367",""
etn:bpns:2121:event-receiver-deployment,receiver drop dead date,2015-07-11,""
etn:bpns:2152:event-receiver-deployment,receiver id,VR2W-123824,""
etn:bpns:2152:event-receiver-deployment,receiver status,broken,""
etn:bpns:2152:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39133, longitude: 3.30367",""
etn:bpns:2152:event-receiver-deployment,receiver drop dead date,2015-06-10,""
etn:bpns:2152:event-receiver-deployment,receiver type,acoustic telemetry,""
etn:bpns:2153:event-receiver-deployment,receiver intended coordinates,"latitude: 51.39133, longitude: 3.30367",""
etn:bpns:2153:event-receiver-deployment,receiver status,broken,""
etn:bpns:2153:event-receiver-deployment,receiver type,acoustic telemetry,""
