eventid,occurrenceid,measurementtype,measurementvalue,measurementunit
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366510:occurrence-detections,transmitter sensor value,25,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366509:occurrence-detections,transmitter sensor value,23,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366508:occurrence-detections,transmitter sensor value,19,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366507:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366506:occurrence-detections,transmitter sensor value,22,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366505:occurrence-detections,transmitter sensor value,11,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366504:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366503:occurrence-detections,transmitter sensor value,19,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366502:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366501:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366500:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366499:occurrence-detections,transmitter sensor value,10,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366498:occurrence-detections,transmitter sensor value,22,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366497:occurrence-detections,transmitter sensor value,22,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366496:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366495:occurrence-detections,transmitter sensor value,36,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366494:occurrence-detections,transmitter sensor value,39,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366493:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366492:occurrence-detections,transmitter sensor value,44,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366491:occurrence-detections,transmitter sensor value,38,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366490:occurrence-detections,transmitter sensor value,43,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366489:occurrence-detections,transmitter sensor value,18,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366488:occurrence-detections,transmitter sensor value,15,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366487:occurrence-detections,transmitter sensor value,13,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366486:occurrence-detections,transmitter sensor value,8,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366485:occurrence-detections,transmitter sensor value,8,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366484:occurrence-detections,transmitter sensor value,8,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366483:occurrence-detections,transmitter sensor value,8,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366482:occurrence-detections,transmitter sensor value,9,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366481:occurrence-detections,transmitter sensor value,16,ADC
urn:catalog:etn:albert:1596:occurrence-detections,urn:catalog:etn:2013_albertkanaal:728:24366480:occurrence-detections,transmitter sensor value,12,ADC
